Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3;3.5;4;4.5;5;6;7;8;7.5;9;10.5;12;13.5
2.5;6228;6707;7205;7665;8158;11863;12844;13823;14867;17493;18975;20457;21939;23438
3;6964;7489;7995;8450;8952;13116;14268;15377;16507;19365;21188;22777;24554;26368
3.5;7718;8290;8804;9285;9793;14577;15561;16923;18169;21292;22588;25098;26959;29196
4;8506;9134;9622;10230;10636;15619;17035;18427;19832;23172;25296;27420;29544;31692
4.5;9317;9516;10500;11075;11502;16901;18409;20109;21577;25065;27402;29742;32079;34419
5;9348;10235;11500;11921;12392;18343;19985;21847;23269;26958;29751;32064;34807;37570
5.5;9998;10522;11843;12766;13188;19423;21269;23119;24599;28848;31687;34383;37532;39718
6;10629;11623;12407;13611;14065;20685;22673;24661;26649;30741;33725;36705;39687;42669
6.5;11269;12326;13191;14469;15522;21847;24079;26209;28339;32634;35832;39027;42222;45420
7;12402;13629;14769;15893;17430;24431;26685;28959;31233;36330;39749;43132;46563;49904
7.5;13323;14332;15540;16748;17967;25673;28091;30507;32923;38223;41850;45474;49098;52725
8;13754;15014;16318;17593;18373;26935;29495;32055;34615;40116;43956;47796;51633;55473
