Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3;3.5;4;5;6;7;8;7.5;9;10.5;12
2.5;5894;6174;6665;7061;9795;11827;13877;15584;15384;18024;19524;20994
3;6219;6774;7329;7864;11050;13202;15990;18044;15990;18630;20130;21600
3.5;6753;7371;7991;8614;12323;15231;16343;18395;16596;19236;20736;22206
4;7287;7972;8658;9343;13394;16434;19524;23916;17202;19842;21342;22812
4.5;7821;8571;9322;10073;14266;17636;19608;25530;17808;20448;21948;23418
5;8355;9171;9986;10802;15337;18837;21941;27531;18414;21054;22554;24024
5.5;8888;9244;11056;11976;16410;20042;21304;29532;19020;21660;23160;24630
6;9667;10103;11793;12709;18371;20183;23657;32868;19626;22266;23766;25236
6.5;9689;11031;12454;13439;19444;21396;25132;34889;20232;22872;24372;25842
7;9935;11552;13088;14164;20510;22537;26583;36899;20838;23478;24978;26448
7.5;11649;12681;13752;14924;21584;23742;28039;38874;21444;24084;25584;27054
8;11649;12681;13752;14924;22660;24943;29530;40875;22050;24690;26190;27660
