Модули;1,5;2,0;2,5;3,0;3,5;4,0;4,5
2,0;3450;3882;4341;4798;5260;5708;6180
2,5;3722;4155;4598;5059;5503;5966;6437
3,0;3992;4420;4855;5289;5742;6193;6650
3,5;4267;4687;5124;5560;6019;6472;6925
4,0;4540;4952;5386;5839;6284;6731;7196
4,5;4807;5225;5651;6094;6547;7003;7464
5,0;5085;5484;5918;6347;6809;7276;7738
5,5;5355;5756;6180;6607;7074;7539;8012
6,0;5630;6027;6443;6879;7335;7808;8279
6,5;6050;6500;6950;7400;7950;8450;8950
7,0;7180;7569;7967;8424;8855;9345;9813
7,5;10940;12529;14119;15709;17299;18889;20479
8,0;14850;16440;18030;19620;21210;22800;24390
8,05;15505;17095;18686;20276;30437;33617;36799
