Модули;1,5;2,0;2,5;3,0;3,5;4,0
2,0;3950;4382;4841;5298;5760;6208
2,5;4222;4655;5098;5559;6003;6466
3,0;4492;4920;5355;5789;6242;6693
3,5;4767;5187;5624;6060;6519;6972
4,0;5040;5452;5886;6339;6784;7231
4,5;5307;5725;6151;6594;7047;7503
5,0;5585;5984;6418;6847;7309;7776
5,5;5855;6256;6680;7107;7574;8039
6,0;6130;6527;6943;7379;7835;8308
6,5;6550;7000;7450;7900;8450;8950
7,0;7680;8069;8467;8924;9355;9845
7,5;11440;13029;14619;16209;17799;19389
8,0;15350;16940;18530;20120;21710;23300
8,05;16005;17595;19186;20776;22367;23957
