,2.0,2.5,3.0,3.5,4.0,4.5,5.0
2.0,3040,3730,4420,5110,5800,6490,7180
2.5,3730,4575,5420,6265,7110,7955,8800
3.0,4420,5420,6420,7420,8420,9420,10420
3.5,5110,6265,7420,8575,9730,10885,12040
4.0,5800,7110,8420,9730,11040,12350,13660
